6TXV,"('TCW', 'Binding MOAD:\xa0 6TXV', 'Kd:&nbsp3100\xa0(nM) from 1 assay(s)')"
6TXW,"('TCW', 'Binding MOAD:\xa0 6TXW', 'Kd:&nbsp110\xa0(nM) from 1 assay(s)')"
6TYM,"('08A', 'Binding MOAD:\xa0 6TYM', 'Kd:&nbsp13.5\xa0(nM) from 1 assay(s)')"
6TYP,"('PKG', 'Binding MOAD:\xa0 6TYP', 'Kd:&nbsp2.7\xa0(nM) from 1 assay(s)')"
6U1N,"('2CU', 'BindingDB:\xa0 6U1N', 'Ki:&nbspmin: 3548, max: 9333\xa0(nM) from 5 assay(s)')"
6U25,"('O5B', 'BindingDB:\xa0 6U25', 'IC50:&nbspmin: 70, max: 70\xa0(nM) from 2 assay(s)')"
6U2H,"('29L', 'BindingDB:\xa0 6U2H', 'Ki:&nbsp0.13\xa0(nM) from 1 assay(s)')"
6U34,"('PQV', 'Binding MOAD:\xa0 6U34', 'Ki:&nbsp1.57e+5\xa0(nM) from 1 assay(s)')"
6U3E,"('4IP', 'BindingDB:\xa0 6U3E', 'Kd:&nbsp100\xa0(nM) from 1 assay(s)')"
6U3G,"('4IP', 'BindingDB:\xa0 6U3G', 'Kd:&nbsp100\xa0(nM) from 1 assay(s)')"
6U4J,"('PWV', 'Binding MOAD:\xa0 6U4J', 'IC50:&nbsp21.2\xa0(nM) from 1 assay(s)')"
6U4Q,"('PX7', 'Binding MOAD:\xa0 6U4Q', 'Ki:&nbsp150.3\xa0(nM) from 1 assay(s)')"
6U4T,"('PX7', 'Binding MOAD:\xa0 6U4T', 'Ki:&nbsp78.7\xa0(nM) from 1 assay(s)')"
6U5M,"('Q0S', 'Binding MOAD:\xa0 6U5M', 'Kd:&nbsp511\xa0(nM) from 1 assay(s)')"
6U5Y,"('Q0M', 'Binding MOAD:\xa0 6U5Y', 'Kd:&nbsp69\xa0(nM) from 1 assay(s)')"
6U65,"('Q0A', 'Binding MOAD:\xa0 6U65', 'Ki:&nbsp770\xa0(nM) from 1 assay(s)')"
6U67,"('Q01', 'Binding MOAD:\xa0 6U67', 'Ki:&nbsp950\xa0(nM) from 1 assay(s)')"
6U6W,"('Q0Y', 'Binding MOAD:\xa0 6U6W', 'Kd:&nbsp4710\xa0(nM) from 1 assay(s)')"
6U7C,"('Q1Y', 'Binding MOAD:\xa0 6U7C', 'IC50:&nbsp18\xa0(nM) from 1 assay(s)')"
6U80,"('Q1J', 'Binding MOAD:\xa0 6U80', 'Kd:&nbsp3.70e+4\xa0(nM) from 1 assay(s)')"
6U8B,"('Q1M', 'Binding MOAD:\xa0 6U8B', 'Kd:&nbsp431\xa0(nM) from 1 assay(s)')"
6U8O,"('Q1G', 'Binding MOAD:\xa0 6U8O', 'Kd:&nbsp289\xa0(nM) from 1 assay(s)')"
6U98,"('Q2D', 'Binding MOAD:\xa0 6U98', 'Ki:&nbsp378\xa0(nM) from 1 assay(s)')"
6U9A,"('Q2A', 'Binding MOAD:\xa0 6U9A', 'Ki:&nbsp164\xa0(nM) from 1 assay(s)')"
6U9K,"('Q2V', 'Binding MOAD:\xa0 6U9K', 'IC50:&nbsp138.4\xa0(nM) from 1 assay(s)')"
6U9M,"('Q2M', 'Binding MOAD:\xa0 6U9M', 'IC50:&nbsp66.5\xa0(nM) from 1 assay(s)')"
6U9N,"('Q34', 'Binding MOAD:\xa0 6U9N', 'IC50:&nbsp55.6\xa0(nM) from 1 assay(s)')"
6U9R,"('Q2P', 'Binding MOAD:\xa0 6U9R', 'IC50:&nbsp99.5\xa0(nM) from 1 assay(s)')"
6UBW,"('84S', 'Binding MOAD:\xa0 6UBW', 'IC50:&nbsp1\xa0(nM) from 1 assay(s)')"
6UCG,"('Q3Y', 'BindingDB:\xa0 6UCG', 'IC50:&nbspmin: 1, max: 49\xa0(nM) from 4 assay(s)')"
6UCS,"('Q41', 'Binding MOAD:\xa0 6UCS', 'Ki:&nbsp0.02\xa0(nM) from 1 assay(s)')"
6UD2,"('Q4D', 'Binding MOAD:\xa0 6UD2', 'IC50:&nbsp0.3\xa0(nM) from 1 assay(s)')"
6UDI,"('Q4S', 'Binding MOAD:\xa0 6UDI', 'IC50:&nbsp0.3\xa0(nM) from 1 assay(s)')"
6UDT,"('Q4V', 'Binding MOAD:\xa0 6UDT', 'IC50:&nbsp0.6\xa0(nM) from 1 assay(s)')"
6UDU,"('Q4Y', 'Binding MOAD:\xa0 6UDU', 'IC50:&nbsp1.7\xa0(nM) from 1 assay(s)')"
6UDV,"('Q51', 'Binding MOAD:\xa0 6UDV', 'Ki:&nbsp0.05\xa0(nM) from 1 assay(s)')"
6UDX,"('Q57', 'Binding MOAD:\xa0 6UDX', 'IC50:&nbsp10\xa0(nM) from 1 assay(s)')"
6UDY,"('Q54', 'Binding MOAD:\xa0 6UDY', 'IC50:&nbsp27\xa0(nM) from 1 assay(s)')"
6UF0,"('Q5V', 'Binding MOAD:\xa0 6UF0', 'IC50:&nbsp73\xa0(nM) from 1 assay(s)')"
6UF0,"('Q5Y', 'Binding MOAD:\xa0 6UF0', 'IC50:&nbsp230\xa0(nM) from 1 assay(s)')"
6UFB,"('Q64', 'Binding MOAD:\xa0 6UFB', 'Ki:&nbsp4.4\xa0(nM) from 1 assay(s)')"
6UFC,"('Q6A', 'Binding MOAD:\xa0 6UFC', 'Ki:&nbsp0.45\xa0(nM) from 1 assay(s)')"
6UFD,"('Q6D', 'Binding MOAD:\xa0 6UFD', 'Ki:&nbsp2.9\xa0(nM) from 1 assay(s)')"
6UFX,"('Q6S', 'Binding MOAD:\xa0 6UFX', 'Ki:&nbsp0.05\xa0(nM) from 1 assay(s)')"
6UGN,"('Q77', 'Binding MOAD:\xa0 6UGN', 'Ki:&nbsp763.5\xa0(nM) from 1 assay(s)')"
6UGP,"('Q7A', 'Binding MOAD:\xa0 6UGP', 'Ki:&nbsp685.5\xa0(nM) from 1 assay(s)')"
6UGR,"('Q71', 'Binding MOAD:\xa0 6UGR', 'Ki:&nbsp533.6\xa0(nM) from 1 assay(s)')"
6UH0,"('PX7', 'Binding MOAD:\xa0 6UH0', 'Ki:&nbsp853.1\xa0(nM) from 1 assay(s)')"
6UIF,"('Q8P', 'Binding MOAD:\xa0 6UIF', 'Kd:&nbsp170\xa0(nM) from 1 assay(s)')"
6UIK,"('Q8M', 'Binding MOAD:\xa0 6UIK', 'Kd:&nbsp400\xa0(nM) from 1 assay(s)')"
6UJ4,"('Q8S', 'Binding MOAD:\xa0 6UJ4', 'Kd:&nbsp170\xa0(nM) from 1 assay(s)')"
6UKU,"('QAV', 'Binding MOAD:\xa0 6UKU', 'IC50:&nbsp8\xa0(nM) from 1 assay(s)')"
6UKV,"('QB1', 'Binding MOAD:\xa0 6UKV', 'IC50:&nbsp1.5\xa0(nM) from 1 assay(s)')"
6UKX,"('QBA', 'Binding MOAD:\xa0 6UKX', 'IC50:&nbsp17\xa0(nM) from 1 assay(s)')"
6UKY,"('QBD', 'Binding MOAD:\xa0 6UKY', 'IC50:&nbsp10\xa0(nM) from 1 assay(s)')"
6UKZ,"('QBG', 'Binding MOAD:\xa0 6UKZ', 'IC50:&nbsp4\xa0(nM) from 1 assay(s)')"
6UL0,"('QBJ', 'Binding MOAD:\xa0 6UL0', 'IC50:&nbsp16\xa0(nM) from 1 assay(s)')"
6UNG,"('QEP', 'Binding MOAD:\xa0 6UNG', 'IC50:&nbsp55\xa0(nM) from 1 assay(s)')"
6URC,"('QFV', 'BindingDB:\xa0 6URC', 'IC50:&nbsp13\xa0(nM) from 1 assay(s)')"
6US2,"('S3O', 'Binding MOAD:\xa0 6US2', 'Ki:&nbsp5.20e-3\xa0(nM) from 1 assay(s)')"
6US3,"('8JF', 'Binding MOAD:\xa0 6US3', 'IC50:&nbsp81\xa0(nM) from 1 assay(s)')"
6US4,"('GN6', 'Binding MOAD:\xa0 6US4', 'IC50:&nbsp13\xa0(nM) from 1 assay(s)')"
6USC,"('KO2', 'Binding MOAD:\xa0 6USC', 'IC50:&nbsp7.00e+5\xa0(nM) from 1 assay(s)')"
6USY,"('QGS', 'Binding MOAD:\xa0 6USY', 'Ki:&nbsp0.4\xa0(nM) from 1 assay(s)')"
6UVJ,"('QJ1', 'Binding MOAD:\xa0 6UVJ', 'Kd:&nbsp2.00e+4\xa0(nM) from 1 assay(s)')"
6UVM,"('QJA', 'Binding MOAD:\xa0 6UVM', 'Kd:&nbsp5.10e+5\xa0(nM) from 1 assay(s)')"
6UVV,"('QJV', 'Binding MOAD:\xa0 6UVV', 'IC50:&nbsp6640\xa0(nM) from 1 assay(s)')"
6UVY,"('QJP', 'Binding MOAD:\xa0 6UVY', 'IC50:&nbsp990\xa0(nM) from 1 assay(s)')"
6UWP,"('QKA', 'Binding MOAD:\xa0 6UWP', 'IC50:&nbsp28\xa0(nM) from 1 assay(s)')"
6UWU,"('QKP', 'Binding MOAD:\xa0 6UWU', 'IC50:&nbsp70\xa0(nM) from 1 assay(s)')"
6UWV,"('QK7', 'Binding MOAD:\xa0 6UWV', 'IC50:&nbsp10\xa0(nM) from 1 assay(s)')"
6UWX,"('QKD', 'Binding MOAD:\xa0 6UWX', 'Kd:&nbsp2.90e+5\xa0(nM) from 1 assay(s)')"
6UX1,"('SAL', 'Binding MOAD:\xa0 6UX1', 'IC50:&nbsp6.60e+6\xa0(nM) from 1 assay(s)')"
6UYB,"('QSJ', 'Binding MOAD:\xa0 6UYB', 'Kd:&nbsp6200\xa0(nM) from 1 assay(s)')"
6UYC,"('QLV', 'Binding MOAD:\xa0 6UYC', 'Kd:&nbsp229\xa0(nM) from 1 assay(s)')"
6UZU,"('6LU', 'Binding MOAD:\xa0 6UZU', 'Ki:&nbsp7\xa0(nM) from 1 assay(s)')"
6V0Q,"('EAE', 'Binding MOAD:\xa0 6V0Q', 'Kd:&nbsp4200\xa0(nM) from 1 assay(s)')"
6V0S,"('EAE', 'Binding MOAD:\xa0 6V0S', 'Kd:&nbsp1.60e+4\xa0(nM) from 1 assay(s)')"
6V0U,"('BMF', 'Binding MOAD:\xa0 6V0U', 'Kd:&nbsp392\xa0(nM) from 1 assay(s)')"
6V0X,"('B49', 'Binding MOAD:\xa0 6V0X', 'Kd:&nbsp2.77e+5\xa0(nM) from 1 assay(s)')"
6V14,"('QMG', 'BindingDB:\xa0 6V14', 'Kd:&nbspmin: 32, max: 82\xa0(nM) from 3 assay(s)')"
6V16,"('QMG', 'BindingDB:\xa0 6V16', 'Kd:&nbspmin: 316, max: 556\xa0(nM) from 3 assay(s)')"
6V17,"('H1B', 'Binding MOAD:\xa0 6V17', 'Kd:&nbsp148\xa0(nM) from 1 assay(s)')"
6V1B,"('H1B', 'Binding MOAD:\xa0 6V1B', 'Kd:&nbsp37\xa0(nM) from 1 assay(s)')"
6V1E,"('5SW', 'BindingDB:\xa0 6V1E', 'Kd:&nbspmin: 0.3, max: 121\xa0(nM) from 3 assay(s)')"
6V1F,"('5U6', 'Binding MOAD:\xa0 6V1F', 'Kd:&nbsp418\xa0(nM) from 1 assay(s)')"
6V1H,"('BMF', 'Binding MOAD:\xa0 6V1H', 'Kd:&nbsp114\xa0(nM) from 1 assay(s)')"
