10GS,"('VWW', 'Binding MOAD:\xa0 10GS', 'Ki:&nbsp400\xa0(nM) from 1 assay(s)')"
13GS,"('SAS', 'Binding MOAD:\xa0 13GS', 'Ki:&nbsp2.40e+4\xa0(nM) from 1 assay(s)')"
1A28,"('STR', 'PDBBind:\xa0 1A28', 'Ki:&nbsp5.1\xa0(nM) from 1 assay(s)')"
1A4R,"('GNH', 'PDBBind:\xa0 1A4R', 'Kd:&nbsp220\xa0(nM) from 1 assay(s)')"
1A4R,"('GDP', 'Binding MOAD:\xa0 1A4R', 'Kd:&nbsp9.40e-3\xa0(nM) from 1 assay(s)')"
1A4W,"('QWE', 'Binding MOAD:\xa0 1A4W', 'Ki:&nbsp1200\xa0(nM) from 1 assay(s)')"
1A52,"('EST', 'PDBBind:\xa0 1A52', 'Ki:&nbsp0.14\xa0(nM) from 1 assay(s)')"
1A5H,"('BBA', 'PDBBind:\xa0 1A5H', 'Ki:&nbsp500\xa0(nM) from 1 assay(s)')"
1A7X,"('FKA', 'PDBBind:\xa0 1A7X', 'Kd:&nbsp0.2\xa0(nM) from 1 assay(s)')"
1A9U,"('SB2', 'PDBBind:\xa0 1A9U', 'IC50:&nbsp48\xa0(nM) from 1 assay(s)')"
1AD8,"('MDL', 'PDBBind:\xa0 1AD8', 'Ki:&nbsp250\xa0(nM) from 1 assay(s)')"
1AGW,"('SU2', 'PDBBind:\xa0 1AGW', 'IC50:&nbsp2.00e+4\xa0(nM) from 1 assay(s)')"
1AHT,"('APA', 'PDBBind:\xa0 1AHT', 'Ki:&nbsp620\xa0(nM) from 1 assay(s)')"
1AJ7,"('NPE', 'PDBBind:\xa0 1AJ7', 'Kd:&nbsp1.35e+5\xa0(nM) from 1 assay(s)')"
1AM6,"('HAE', 'Binding MOAD:\xa0 1AM6', 'IC50:&nbsp4.70e+4\xa0(nM) from 1 assay(s)')"
1AQ1,"('STU', 'PDBBind:\xa0 1AQ1', 'IC50:&nbsp7\xa0(nM) from 1 assay(s)')"
1AU0,"('SDK', 'PDBBind:\xa0 1AU0', 'Ki:&nbsp22\xa0(nM) from 1 assay(s)')"
1AU2,"('POS', 'PDBBind:\xa0 1AU2', 'Ki:&nbsp13\xa0(nM) from 1 assay(s)')"
1AVN,"('HSM', 'PDBBind:\xa0 1AVN', 'Kd:&nbsp1.25e+5\xa0(nM) from 1 assay(s)')"
1AWF,"('GR4', 'PDBBind:\xa0 1AWF', 'Ki:&nbsp970\xa0(nM) from 1 assay(s)')"
1AWH,"('GR3', 'PDBBind:\xa0 1AWH', 'Ki:&nbsp830\xa0(nM) from 1 assay(s)')"
1AXS,"('HOP', 'PDBBind:\xa0 1AXS', 'Kd:&nbsp17\xa0(nM) from 1 assay(s)')"
1AYU,"('INA', 'PDBBind:\xa0 1AYU', 'Ki:&nbsp0.7\xa0(nM) from 1 assay(s)')"
1AYV,"('IN6', 'PDBBind:\xa0 1AYV', 'Ki:&nbsp10\xa0(nM) from 1 assay(s)')"
1AZM,"('AZM', 'PDBBind:\xa0 1AZM', 'Ki:&nbsp800\xa0(nM) from 1 assay(s)')"
1B0F,"('SEI', 'PDBBind:\xa0 1B0F', 'Ki:&nbsp20\xa0(nM) from 1 assay(s)')"
1B2I,"('AMH', 'PDBBind:\xa0 1B2I', 'IC50:&nbsp3100\xa0(nM) from 1 assay(s)')"
1B38,"('ATP', 'PDBBind:\xa0 1B38', 'Kd:&nbsp254\xa0(nM) from 1 assay(s)')"
1B39,"('ATP', 'PDBBind:\xa0 1B39', 'Kd:&nbsp120\xa0(nM) from 1 assay(s)')"
1B55,"('4IP', 'Binding MOAD:\xa0 1B55', 'Kd:&nbsp40\xa0(nM) from 1 assay(s)')"
1B56,"('PLM', 'PDBBind:\xa0 1B56', 'Ki:&nbsp802\xa0(nM) from 1 assay(s)')"
1B8Y,"('IN7', 'PDBBind:\xa0 1B8Y', 'Ki:&nbsp14\xa0(nM) from 1 assay(s)')"
1BCD,"('FMS', 'PDBBind:\xa0 1BCD', 'Ki:&nbsp2\xa0(nM) from 1 assay(s)')"
1BCU,"('PRL', 'Binding MOAD:\xa0 1BCU', 'Kd:&nbsp5.30e+5\xa0(nM) from 1 assay(s)')"
1BGO,"('I10', 'PDBBind:\xa0 1BGO', 'Ki:&nbsp3.5\xa0(nM) from 1 assay(s)')"
1BHX,"('R56', 'PDBBind:\xa0 1BHX', 'Ki:&nbsp145\xa0(nM) from 1 assay(s)')"
1BIL,"('0IU', 'Binding MOAD:\xa0 1BIL', 'IC50:&nbsp0.5\xa0(nM) from 1 assay(s)')"
1BIO,"('SOA', 'PDBBind:\xa0 1BIO', 'IC50:&nbsp2900\xa0(nM) from 1 assay(s)')"
1BIW,"('S80', 'Binding MOAD:\xa0 1BIW', 'IC50:&nbsp104\xa0(nM) from 1 assay(s)')"
1BKF,"('FK5', 'Binding MOAD:\xa0 1BKF', 'Ki:&nbsp2.1\xa0(nM) from 1 assay(s)')"
1BL4,"('AP1', 'Binding MOAD:\xa0 1BL4', 'IC50:&nbsp1.8\xa0(nM) from 1 assay(s)')"
1BL6,"('SB6', 'PDBBind:\xa0 1BL6', 'IC50:&nbsp160\xa0(nM) from 1 assay(s)')"
1BL7,"('SB4', 'PDBBind:\xa0 1BL7', 'IC50:&nbsp19\xa0(nM) from 1 assay(s)')"
1BM7,"('FLF', 'Binding MOAD:\xa0 1BM7', 'Kd:&nbsp30\xa0(nM) from 1 assay(s)')"
1BMK,"('SB5', 'PDBBind:\xa0 1BMK', 'IC50:&nbsp25\xa0(nM) from 1 assay(s)')"
1BMM,"('BM2', 'PDBBind:\xa0 1BMM', 'Ki:&nbsp79\xa0(nM) from 1 assay(s)')"
1BMN,"('BM9', 'PDBBind:\xa0 1BMN', 'Ki:&nbsp3.6\xa0(nM) from 1 assay(s)')"
1BMQ,"('MNO', 'PDBBind:\xa0 1BMQ', 'IC50:&nbsp38\xa0(nM) from 1 assay(s)')"
1BN1,"('AL5', 'Binding MOAD:\xa0 1BN1', 'Kd:&nbsp0.46\xa0(nM) from 1 assay(s)')"
1BN3,"('AL6', 'Binding MOAD:\xa0 1BN3', 'Kd:&nbsp0.13\xa0(nM) from 1 assay(s)')"
1BN4,"('AL9', 'Binding MOAD:\xa0 1BN4', 'Kd:&nbsp0.49\xa0(nM) from 1 assay(s)')"
1BNM,"('AL8', 'PDBBind:\xa0 1BNM', 'Kd:&nbsp0.1\xa0(nM) from 1 assay(s)')"
1BNN,"('AL1', 'PDBBind:\xa0 1BNN', 'Kd:&nbsp0.1\xa0(nM) from 1 assay(s)')"
1BNQ,"('AL4', 'Binding MOAD:\xa0 1BNQ', 'Kd:&nbsp0.32\xa0(nM) from 1 assay(s)')"
1BNT,"('AL2', 'Binding MOAD:\xa0 1BNT', 'Kd:&nbsp0.16\xa0(nM) from 1 assay(s)')"
1BNU,"('AL3', 'Binding MOAD:\xa0 1BNU', 'Kd:&nbsp0.2\xa0(nM) from 1 assay(s)')"
1BNV,"('AL7', 'PDBBind:\xa0 1BNV', 'Kd:&nbsp1.7\xa0(nM) from 1 assay(s)')"
1BNW,"('TPS', 'PDBBind:\xa0 1BNW', 'Kd:&nbsp0.83\xa0(nM) from 1 assay(s)')"
1BNW,"('TPD', 'Binding MOAD:\xa0 1BNW', 'Kd:&nbsp0.83\xa0(nM) from 1 assay(s)')"
1BOZ,"('PRD', 'Binding MOAD:\xa0 1BOZ', 'IC50:&nbsp8500\xa0(nM) from 1 assay(s)')"
1BQO,"('N25', 'PDBBind:\xa0 1BQO', 'IC50:&nbsp18.4\xa0(nM) from 1 assay(s)')"
1BWN,"('4IP', 'PDBBind:\xa0 1BWN', 'Kd:&nbsp87\xa0(nM) from 1 assay(s)')"
1BY4,"('DNA', 'PDBBind:\xa0 1BY4', 'Kd:&nbsp350\xa0(nM) from 1 assay(s)')"
